feature,importance
opp_lg_avg_obp,0.21115577
pitches_per_ip,0.083345614
opp_lg_avg_woba,0.07690239
opp_lg_avg_k_pct,0.06611777
xfip,0.062923186
siera,0.05873975
fip,0.056249008
k_pct,0.055988345
k_minus_bb_pct,0.05283811
avg_sp_outs,0.049744464
csw_pct,0.048770018
fstrike_pct,0.048062578
swstr_pct,0.04714249
bb_pct,0.043133378
depth_score,0.038887143
